index,Vkey,VPsize,Information Retrieval,H-Index,Citations,Qualis,World Wide Web,Computer graphics (images),Operating system,Algorithm,Database,Computer network,Data mining,Programming language,Machine learning,Computer vision,Natural language processing,Computer hardware,Pattern recognition,Embedded system,Simulation,Internet privacy,Artificial intelligence,Human-computer interaction,Speech recognition,Parallel computing,Distributed computing,Computer architecture,Computational biology,Real-time computing,Computational science,Data science,Information retrieval,Theoretical computer science,Management science,Cognitive science,Operations research,Computer security,Bioinformatics,Multimedia,Mathematical optimization,Knowledge management,Telecommunications
149,conf/ifip12,2618.0,,,3359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,conf/imsccs,366.0,,,987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,journals/jnw,1803.0,,,1778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0
152,journals/cssp,844.0,,,3300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,journals/fss,3354.0,,45.0,58453.0,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,
154,conf/nlprs,109.0,,,774.0,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,
155,conf/semco,664.0,,15.0,2256.0,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,13.0,,,,,,,
156,conf/cis,2190.0,,12.0,3982.0,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,25.0
157,conf/msn,697.0,,12.0,1895.0,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,conf/prolamat,414.0,,,765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,journals/tc,6597.0,,,264854.0,A1,,60.0,246.0,59.0,92.0,290.0,,100.0,,,,10.0,,10.0,,40.0,,,,2094.0,311.0,442.0,,311.0,40.0,,70.0,108.0,,,,59.0,,,,,
160,journals/cce,2581.0,,118.0,35527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,conf/mm,4156.0,267.0,,84789.0,A1,84.0,240.0,55.0,,109.0,51.0,36.0,,413.0,413.0,24.0,10.0,413.0,10.0,,,68.0,67.0,92.0,,45.0,,,45.0,,42.0,299.0,19.0,,,,53.0,,65.0,,65.0,
162,journals/connection,372.0,,,9091.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,
163,conf/netgames,285.0,,,3427.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,journals/ijiids,220.0,,,384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,journals/jossac,727.0,,,1489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,41.0,,
166,journals/bioinformatics,10067.0,,,582213.0,A1,1902.0,,,,51.0,,1963.0,,,,46.0,,,,,,,,,,,,1300.0,,,864.0,,,,,,,899.0,,133.0,,
167,journals/kbs,2347.0,,44.0,29383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,38.0,,,,,,
