	Name	Link	NPubs_list	NCits_list	ShortName
2149	International Workshop on Annotation for Collaboration - Methods, Tools and Practices	/Conference/2149/iwac-international-workshop-on-annotation-for-collaboration-methods-tools-and-practices	17	31	IWAC
1576	Semantic Network Processing System	/Conference/1576/current-trends-in-sneps-semantic-network-processing-system	13	31	Current Trends in SNePS
438	Informatik für den Umweltschutz	/Conference/438/umwelt-informatik-f-r-den-umweltschutz	278	30	Umwelt
3259	International Conference on Computational Aspects of Social Networks	/Conference/3259/cason-international-conference-on-computational-aspects-of-social-networks	241	30	CASON
2947	International Symposium on Ubiquitous Multimedia Computing	/Conference/2947/umc-international-symposium-on-ubiquitous-multimedia-computing	52	30	UMC
2618	Spring Young Researchers Colloquium on Databases and Information Systems	/Conference/2618/syrcodis-spring-young-researchers-colloquium-on-databases-and-information-systems	36	30	SYRCoDIS
1230	International Symposium on Environmental Software Systems	/Conference/1230/isess-international-symposium-on-environmental-software-systems	35	30	ISESS
1994	Workshop Farbbildverarbeitung	/Conference/1994/fws-workshop-farbbildverarbeitung	27	30	FWS
2608	Conditionals, Information, and Inference	/Conference/2608/wcii-conditionals-information-and-inference	13	30	WCII
3478	International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery, CyberC	/Conference/3478/cyberc-international-conference-on-cyber-enabled-distributed-computing-and-knowledge-discovery	164	29	CyberC
2716	International Visual Informatics Conference	/Conference/2716/ivic-international-visual-informatics-conference	85	29	IVIC
3221	International Conference on Communications and Networking, ComNet	/Conference/3221/comnet-international-conference-on-communications-and-networking-comnet	80	29	ComNet
3492	Conference on Data Mining and Optimization	/Conference/3492/dmo-conference-on-data-mining-and-optimization	78	29	DMO
2750	Security of Information and Networks	/Conference/2750/sin-security-of-information-and-networks	46	29	SIN
3940	International Workshop on High Performance Computational Systems Biology	/Conference/3940/hibi-international-workshop-on-high-performance-computational-systems-biology	33	29	HIBI
51	International Database Conference (Workshop)	/Conference/51/idc-w-international-database-conference-workshop	32	29	IDC(W)
1288	Architectures for Quality of Service in the Internet	/Conference/1288/architectures-for-quality-of-service-in-the-internet	23	29	
3613	International Workshop on the Economics of Software and Computation	/Conference/3613/esc-international-workshop-on-the-economics-of-software-and-computation	9	29	ESC
2582	Formal Methods in Systems Biology	/Conference/2582/fmsb-formal-methods-in-systems-biology	8	29	FMSB
3335	International Symposium on Computer Communication Control and Automation	/Conference/3335/3ca-international-symposium-on-computer-communication-control-and-automation	288	28	3CA
3112	International Conference on Biomedical Engineering and Computer Science	/Conference/3112/icbecs-international-conference-on-biomedical-engineering-and-computer-science	233	28	ICBECS
2879	International Conference on Signal and Image Processing Applications	/Conference/2879/icsipa-international-conference-on-signal-and-image-processing-applications	215	28	ICSIPA
1930	E-Business	/Conference/1930/ebusiness-e-business	141	28	EBUSINESS
3607	IEEE International Conference on E-Science Workshops	/Conference/3607/esciw-ieee-international-conference-on-e-science-workshops	92	28	ESCIW
3263	Workshop on Computational Electromagnetics in Time-Domain	/Conference/3263/cem-td-workshop-on-computational-electromagnetics-in-time-domain	73	28	CEM-TD
3264	Computational Electromagnetics Workshop	/Conference/3264/cem-computational-electromagnetics-workshop	67	28	CEM
3824	International Conference on Advances in Databases, Knowledge, and Data Applications	/Conference/3824/dbkda-international-conference-on-advances-in-databases-knowledge-and-data-applications	62	28	DBKDA
3862	Software Technologies for Future Dependable Distributed Systems	/Conference/3862/stfssd-software-technologies-for-future-dependable-distributed-systems	44	28	STFSSD
2729	Metadata and Semantics Research	/Conference/2729/mtsr-metadata-and-semantics-research	40	28	MTSR
2692	Future Play	/Conference/2692/future-play	32	28	
4912	IEEE International Workshop on Semantic Computing and Applications	/Conference/4912/iwsca-ieee-international-workshop-on-semantic-computing-and-applications	32	28	IWSCA
1148	IFIP TC5/WG5.11 Publications	/Conference/1148/ifip-tc5-wg5-11-publications	29	28	
146	Logic Programming Summer School	/Conference/146/lpss-logic-programming-summer-school	22	28	LPSS
2619	International Castle Meeting on Coding Theory and Applications	/Conference/2619/icmcta-international-castle-meeting-on-coding-theory-and-applications	20	28	ICMCTA
1704	3D technologies for the World Wide Web	/Conference/1704/web3d-3d-technologies-for-the-world-wide-web	7	28	Web3D
1901	Databases: Active and Real-Time	/Conference/1901/dart-databases-active-and-real-time	5	28	DART
1026	GMDS Tagungen	/Conference/1026/gmds-tagungen	286	27	
3511	Design & Test Symposium, East-West	/Conference/3511/ewdts-design-&-test-symposium-east-west	210	27	EWDTS
3030	Web Conference, International Asia-Pacific	/Conference/3030/apweb-web-conference-international-asia-pacific	74	27	APWEB
968	Advanced Internet Services and Applications	/Conference/968/advanced-internet-services-and-applications	29	27	
1902	Symposium on Dependable Autonomic and Secure Computing	/Conference/1902/dasc-symposium-on-dependable-autonomic-and-secure-computing	4	27	DASC
3360	International Workshop on Advanced Computational Intelligence	/Conference/3360/iwaci-international-workshop-on-advanced-computational-intelligence	288	26	IWACI
404	Transputer-Anwender-Treffen	/Conference/404/tat-transputer-anwender-treffen	151	26	TAT
363	Software Engineering im Unterricht der Hochschulen	/Conference/363/seuh-software-engineering-im-unterricht-der-hochschulen	117	26	SEUH
2116	Italian Research Conference on Digital Library Management Systems	/Conference/2116/ircdl-italian-research-conference-on-digital-library-management-systems	70	26	IRCDL
3420	International Conference on Computers, Communications, & Signal Processing	/Conference/3420/ccsp-international-conference-on-computers-communications-&-signal-processing	70	26	CCSP
1145	IFIP TC3/WG3.6 Publications	/Conference/1145/ifip-tc3-wg3-6-publications	36	26	
957	Advanced Information Processing Techniques for LAN and MAN Management	/Conference/957/advanced-information-processing-techniques-for-lan-and-man-management	23	26	
1995	Games for Logic and Programming Languages	/Conference/1995/galop-games-for-logic-and-programming-languages	17	26	GALOP
2425	The Disappearing Computer	/Conference/2425/the-disappearing-computer	15	26	
3300	IEEE Workshop on Computational Intelligence in Vehicles and Vehicular Systems	/Conference/3300/civvs-ieee-workshop-on-computational-intelligence-in-vehicles-and-vehicular-systems	15	26	CIVVS
1913	Research Results of the DICS Program	/Conference/1913/dics-research-results-of-the-dics-program	14	26	DICS
4687	SPAWDA Symposium on Piezoelectricity, Acoustic Waves, and Device Applications	/Conference/4687/spawda-spawda-symposium-on-piezoelectricity-acoustic-waves-and-device-applications	527	25	SPAWDA
