Name	Link	NPubs_list	NCits_list	ShortName
Technology Analysis & Strategic Management	/Journal/5057/technol-anal-strateg-manage-technology-analysis-&-strategic-management	967	5987	TECHNOL ANAL STRATEG MANAGE
Leadership & Organization Development Journal	/Journal/16962/leadership-&-organization-development-journal	1068	5952	
Journal of The Royal Statistical Society Series A-statistics in Society	/Journal/4930/j-roy-statist-soc-ser-a-stat-journal-of-the-royal-statistical-society-series-a-statistics-in	813	5941	J ROY STATIST SOC SER A STAT
Economic Modelling	/Journal/4695/econ-model-economic-modelling	1547	5929	ECON MODEL
Quantitative Finance	/Journal/4999/quant-financ-quantitative-finance	1172	5923	QUANT FINANC
European Review of Agricultural Economics	/Journal/4737/eur-rev-agric-econ-european-review-of-agricultural-economics	1162	5866	EUR REV AGRIC ECON
Asia Pacific Journal of Management	/Journal/4628/asia-pac-j-manag-asia-pacific-journal-of-management	763	5821	ASIA PAC J MANAG
Canadian Journal of Economics-revue Canadienne D Economique	/Journal/4664/can-j-econ-canadian-journal-of-economics-revue-canadienne-d-economique	732	5731	CAN J ECON
Industrial Relations Journal	/Journal/17307/industrial-relations-journal	1311	5672	
The Tqm Magazine	/Journal/17042/the-tqm-magazine	1011	5665	
Journal of Intellectual Capital	/Journal/17033/journal-of-intellectual-capital	412	5653	
Canadian Journal of Agricultural Economics-revue Canadienne D Agroeconomie	/Journal/4663/can-j-agr-econ-rev-can-agroec-canadian-journal-of-agricultural-economics-revue-canadienne-d	2058	5619	CAN J AGR ECON-REV CAN AGROEC
Marketing Letters	/Journal/4959/mark-lett-marketing-letters	675	5600	MARK LETT
Economics of Transition	/Journal/4704/econ-transit-economics-of-transition	544	5593	ECON TRANSIT
Journal of Product & Brand Management	/Journal/16937/journal-of-product-&-brand-management	727	5547	
Journal of Derivatives	/Journal/4846/j-deriv-journal-of-derivatives	400	5513	J DERIV
China Economic Review	/Journal/4668/china-econ-rev-china-economic-review	640	5509	CHINA ECON REV
Economic Development Quarterly	/Journal/4686/econ-dev-q-economic-development-quarterly	842	5487	ECON DEV Q
Information Economics and Policy	/Journal/365/iepol-information-economics-and-policy	677	5477	IEPOL
European Accounting Review	/Journal/4725/eur-account-rev-european-accounting-review	968	5466	EUR ACCOUNT REV
Journal of Economics and Business	/Journal/14310/journal-of-economics-and-business	963	5466	
Journal of Labor Research	/Journal/4896/j-labor-res-journal-of-labor-research	1167	5439	J LABOR RES
Journal of European Industrial Training	/Journal/16920/journal-of-european-industrial-training	1276	5385	
Environment and Development Economics	/Journal/4722/environ-dev-econ-environment-and-development-economics	573	5355	ENVIRON DEV ECON
World Bank Research Observer	/Journal/5069/world-bank-res-observer-world-bank-research-observer	226	5315	WORLD BANK RES OBSERVER
International Review of Law and Economics	/Journal/4810/int-rev-law-economics-international-review-of-law-and-economics	921	5312	INT REV LAW ECONOMICS
Journal of Marketing Education	/Journal/18097/j-market-educ-journal-of-marketing-education	908	5281	J Market Educ
Economic Systems Research	/Journal/4702/econ-syst-res-economic-systems-research	811	5235	ECON SYST RES
Agribusiness	/Journal/1116/agribusiness	1206	5190	
Scandinavian Journal of Management	/Journal/5042/scand-j-manag-scandinavian-journal-of-management	817	5162	SCAND J MANAG
