Name	Link	NCits_list	NPubs_list	ShortName
Current Topics in Medicinal Chemistry	/Journal/2009/curr-top-med-chem-current-topics-in-medicinal-chemistry	1116	40	CURR TOP MED CHEM
Energy & Fuels	/Journal/5231/energ-fuel-energy-&-fuels	6752	39	ENERG FUEL
Theoretical Chemistry Accounts	/Journal/2369/theor-chem-acc-theoretical-chemistry-accounts	6660	39	THEOR CHEM ACC
Combustion Science and Technology	/Journal/5173/combust-sci-technol-combustion-science-and-technology	4382	39	COMBUST SCI TECHNOL
Advanced Synthesis & Catalysis	/Journal/1861/adv-synth-catal-advanced-synthesis-&-catalysis	2707	39	ADV SYNTH CATAL
Pest Management Science	/Journal/1349/pest-manag-sci-pest-management-science	1920	39	PEST MANAG SCI
Cellular Physiology and Biochemistry	/Journal/7607/cell-physiol-biochem-cellular-physiology-and-biochemistry	1416	39	CELL PHYSIOL BIOCHEM
Fresenius Journal of Analytical Chemistry	/Journal/1879/fresenius-j-anal-chem-fresenius-journal-of-analytical-chemistry	67118	38	FRESENIUS J ANAL CHEM
Journal of Organometallic Chemistry	/Journal/2164/j-organomet-chem-journal-of-organometallic-chemistry	36521	38	J ORGANOMET CHEM
Thermochimica Acta	/Journal/5862/thermochim-acta-thermochimica-acta	16651	38	THERMOCHIM ACTA
European Polymer Journal	/Journal/2031/eur-polym-j-european-polymer-journal	10516	38	EUR POLYM J
Bioorganic & Medicinal Chemistry	/Journal/1908/bioorgan-med-chem-bioorganic-&-medicinal-chemistry	9661	38	BIOORGAN MED CHEM
Journal of Inorganic Biochemistry	/Journal/1683/j-inorg-biochem-journal-of-inorganic-biochemistry	8039	38	J INORG BIOCHEM
Biochemical Systematics and Ecology	/Journal/1460/biochem-syst-ecol-biochemical-systematics-and-ecology	4149	38	BIOCHEM SYST ECOL
Journal of Polymer Science	/Journal/13156/journal-of-polymer-science	4104	38	
Biochimica Et Biophysica Acta-proteins and Proteomics	/Journal/1448/bba-proteins-proteomics-biochimica-et-biophysica-acta-proteins-and-proteomics	2209	38	BBA-PROTEINS PROTEOMICS
Biochemical Engineering Journal	/Journal/1454/biochem-eng-j-biochemical-engineering-journal	2161	38	BIOCHEM ENG J
Comparative Biochemistry and Physiology Part C: Pharmacology, Toxicology and Endocrinology	/Journal/14045/comp-biochem-physiol-c-pharmacol-toxicol-endocrinol-comparative-biochemistry-and-physiology-part	1118	38	COMP BIOCHEM PHYSIOL C PHARMACOL TOXICOL ENDOCRINOL
Canadian Journal of Chemistry-revue Canadienne De Chimie	/Journal/1920/can-j-chem-canadian-journal-of-chemistry-revue-canadienne-de-chimie	22088	37	CAN J CHEM
Organic & Biomolecular Chemistry	/Journal/2252/org-biomol-chem-organic-&-biomolecular-chemistry	4559	37	ORG BIOMOL CHEM
International Journal of Chemical Kinetics	/Journal/2067/int-j-chem-kinet-international-journal-of-chemical-kinetics	3820	37	INT J CHEM KINET
Journal of Supercritical Fluids	/Journal/2191/j-supercrit-fluid-journal-of-supercritical-fluids	2314	37	J SUPERCRIT FLUID
Biometals	/Journal/1492/biometals	1433	37	
Separation Science and Technology	/Journal/2337/separ-sci-technol-separation-science-and-technology	6768	36	SEPAR SCI TECHNOL
Solar Energy Materials and Solar Cells	/Journal/7003/solar-energ-mater-solar-cells-solar-energy-materials-and-solar-cells	5188	36	SOLAR ENERG MATER SOLAR CELLS
Insect Biochemistry	/Journal/14092/insect-biochem-insect-biochemistry	1870	36	INSECT BIOCHEM
Clinics in Chest Medicine	/Journal/2872/clin-chest-med-clinics-in-chest-medicine	949	36	CLIN CHEST MED
Chemphyschem	/Journal/1974/chemphyschem	3439	35	
Chemistry Letters	/Journal/1952/chem-lett-chemistry-letters	22323	34	CHEM LETT
Journal of Solid State Chemistry	/Journal/2186/j-solid-state-chem-journal-of-solid-state-chemistry	21785	34	J SOLID STATE CHEM
Journal of The Chemical Society-perkin Transactions 1	/Journal/2108/j-chem-soc-perkin-trans-1-journal-of-the-chemical-society-perkin-transactions-1	15860	34	J CHEM SOC PERKIN TRANS 1
International Journal of Mass Spectrometry	/Journal/2070/int-j-mass-spectrom-international-journal-of-mass-spectrometry	4351	34	INT J MASS SPECTROM
Electrochemistry Communications	/Journal/2019/electrochem-commun-electrochemistry-communications	4239	34	ELECTROCHEM COMMUN
Journal of Histochemistry & Cytochemistry	/Journal/7732/j-histochem-cytochem-journal-of-histochemistry-&-cytochemistry	1392	34	J HISTOCHEM CYTOCHEM
Journal of The Chemical Society, Chemical Communications	/Journal/15326/journal-of-the-chemical-society-chemical-communications	24225	33	
Journal of Radioanalytical and Nuclear Chemistry	/Journal/2180/j-radioanal-nucl-chem-journal-of-radioanalytical-and-nuclear-chemistry	16534	33	J RADIOANAL NUCL CHEM
Fluid Phase Equilibria	/Journal/2038/fluid-phase-equilibria	7229	33	
Acta Crystallographica Section B-structural Science	/Journal/1848/acta-crystallogr-b-struct-sci-acta-crystallographica-section-b-structural-science	3330	33	ACTA CRYSTALLOGR B-STRUCT SCI
