"CJourID","DomainID","SubDomainID"
"1236","16","1"
"1237","4","0"
"1237","16","1"
"1238","16","4"
"1239","19","0"
"1240","16","4"
"1241","16","5"
"1242","4","0"
"1242","16","0"
"1243","16","0"
"1244","16","0"
"1245","6","16"
"1246","16","4"
"1247","16","4"
"1248","16","4"
"1249","16","4"
"1250","6","16"
"1250","16","4"
"1251","16","4"
"1252","6","16"
"1253","16","4"
"1254","16","0"
"1255","16","6"
"1256","16","6"
"1257","16","4"
"1258","16","0"
"1259","8","0"
"1260","5","0"
"1261","16","0"
"1262","16","0"
"1263","16","0"
"1264","16","0"
"1265","10","0"
"1266","16","1"
"1267","5","0"
"1268","16","1"
"1269","16","4"
"1270","1","0"
"1271","16","3"
"1272","6","16"
"1273","16","1"
"1274","16","4"
"1275","16","4"
"1276","16","0"
"1277","16","4"
"1278","16","4"
"1279","16","4"
"1280","16","4"
"1281","16","4"
"1282","16","4"
"1283","16","4"
"1284","16","4"
"1285","16","4"
"1286","16","4"
"1287","16","4"
"1288","16","4"
"1289","16","4"
"1290","16","4"
"1291","16","4"
"1292","6","16"
"1293","16","4"
"1294","16","4"
"1295","16","4"
"1296","6","16"
"1297","6","16"
"1298","6","16"
"1299","6","16"
"1300","6","16"
"1301","6","16"
"1302","16","7"
"1303","16","0"
"1304","16","1"
"1305","4","0"
"1305","16","0"
"1306","16","4"
"1307","16","0"
"1308","16","7"
"1309","16","0"
"1310","16","4"
"1311","16","0"
"1312","16","1"
"1313","16","0"
"1314","16","2"
"1314","16","4"
"1315","16","4"
"1316","16","0"
"1317","16","1"
"1318","16","4"
"1319","6","16"
"1320","16","4"
"1321","16","0"
"1322","16","1"
"1323","16","1"
"1323","16","4"
"1324","6","16"
"1324","16","4"
"1325","8","9"
"1326","16","0"
"1327","16","1"
"1328","16","4"
"1329","16","0"
"1330","7","0"
"1331","4","0"
"1331","16","0"
"1332","16","0"
"1333","16","1"
"1334","6","16"
"1335","6","16"
"1336","6","16"
"1337","6","16"
"1338","6","16"
"1339","6","16"
"1340","6","16"
"1341","6","16"
"1342","6","16"
"1343","6","16"
"1344","16","1"
"1345","16","0"
"1346","16","6"
"1347","16","0"
"1348","16","0"
"1349","5","0"
"1350","16","0"
"1351","16","1"
"1352","16","1"
"1353","16","1"
"1353","16","7"
"1354","16","1"
"1355","4","0"
"1356","16","1"
"1357","16","0"
"1358","6","16"
"1359","6","16"
"1360","16","1"
"1361","16","5"
"1362","16","0"
"1363","16","1"
"1364","16","0"
"1365","16","1"
"1366","6","16"
"1367","16","0"
"1368","16","0"
"1369","16","0"
"1370","6","16"
"1371","16","0"
"1372","16","1"
"1373","16","1"
"1373","16","4"
"1374","4","0"
"1374","16","1"
"1375","16","0"
"1376","16","4"
"1377","16","0"
"1378","16","1"
"1378","16","7"
"1379","16","7"
"1380","16","7"
"1381","16","0"
"1382","16","4"
"1383","16","0"
"1384","16","4"
"1385","16","0"
"1386","16","0"
"1387","16","1"
"1388","16","1"
"1389","4","0"
"1389","16","1"
"1390","16","0"
"1391","16","4"
"1392","16","4"
"1393","4","3"
"1393","5","19"
"1394","5","19"
"1395","4","4"
"1396","4","5"
"1396","4","13"
"1397","5","19"
"1398","4","4"
"1399","4","0"
"1400","6","6"
"1401","10","0"
"1402","4","9"
"1403","4","9"
"1404","6","1"
"1404","6","20"
"1405","6","20"
"1406","6","20"
"1407","4","0"
"1407","4","9"
"1408","4","4"
"1409","6","1"
"1410","4","3"
"1411","5","19"
"1412","4","10"
"1412","6","9"
"1413","4","10"
"1413","5","19"
"1414","5","0"
"1415","4","4"
"1416","4","0"
"1417","6","21"
"1418","6","9"
"1418","6","21"
"1419","4","5"
"1419","6","21"
"1420","6","16"
"1420","6","20"
"1421","5","19"
"1422","5","19"
"1423","4","10"
"1423","5","19"
"1424","6","1"
"1424","6","21"
"1425","4","5"
"1425","4","10"
"1426","6","1"
"1427","4","0"
"1428","6","9"
"1429","6","9"
"1429","6","16"
"1430","5","19"
"1431","4","3"
"1432","6","21"
"1433","4","0"
"1434","4","4"
"1434","5","19"
"1435","4","10"
"1435","5","19"
"1436","4","0"
"1437","5","19"
"1437","6","21"
"1438","4","0"
"1439","4","4"
"1439","4","10"
"1440","4","4"
"1441","4","4"
"1442","4","5"
