Key,ShortName,Name,HIndex,Qualis
dblp:journals/icl,ICL (J),,,A1
dblp:conf/ism,ISM (C),,19,B2
dblp:conf/spin,SPIN (C),,,
dblp:conf/spieSR,SPIESR (C),,,
dblp:conf/civr,CIVR (C),,,
dblp:conf/pervasive,PERVASIVE (C),,48,A2
dblp:conf/sigplan,SIGPLAN (C),,,
dblp:journals/orl,ORL (J),,,B1
dblp:conf/ipccc,IPCCC (C),,24,B1
dblp:conf/ecoopw,ECOOPW (C),,,
dblp:journals/tnn,TNN (J),,,
dblp:journals/titb,TITB (J),,,
dblp:conf/parle,PARLE (C),,,
dblp:conf/ACMdis,ACMDIS (C),,,
dblp:conf/isnn,ISNN (C),,,
dblp:conf/p2p,P2P (C),,46,A2
dblp:conf/csl,CSL (C),,33,B1
dblp:journals/telsys,TELSYS (J),,,B1
dblp:conf/hri,HRI (C),,38,A2
dblp:conf/iccvw,ICCVW (C),,,
dblp:conf/coopis,COOPIS (C),,22,B1
dblp:conf/eds,EDS (C),,,
dblp:journals/ci,CI (J),,,B1
dblp:conf/imr,IMR (C),,28,B1
dblp:conf/webi,WEBI (C),,,
dblp:conf/itcc,ITCC (C),,,
dblp:journals/toit,TOIT (J),,,
dblp:conf/semco,SEMCO (C),,,
dblp:conf/smi,SMI (C),,38,A2
dblp:conf/wicsa,WICSA (C),,32,B1
dblp:conf/gi,GI (C),,51,A2
dblp:conf/hoti,HOTI (C),,23,B1
dblp:conf/noms,NOMS (C),,37,A2
dblp:journals/mscs,MSCS (J),,,B2
dblp:conf/wpes,WPES (C),,,
dblp:journals/ijseke,IJSEKE (J),,,B2
dblp:conf/sacmat,SACMAT (C),,55,A1
dblp:conf/sibgrapi,SIBGRAPI (C),,28,B1
dblp:journals/sigart,SIGART (J),,,
dblp:reference/ml,ML (reference),,,
dblp:conf/arvlsi,ARVLSI (C),,9,B4
dblp:conf/adl,ADL (C),,,
dblp:journals/artmed,ARTMED (J),,,A2
dblp:conf/anss,ANSS (C),,28,B1
dblp:journals/tos,TOS (J),,,
dblp:conf/dialm,DIALM (C),,,
dblp:conf/socialcom,SOCIALCOM (C),,10,B4
dblp:conf/fse,FSE (C),,46,A2
dblp:conf/isi,ISI (C),,27,B1
dblp:conf/irregular,IRREGULAR (C),,,
dblp:conf/wia,WIA (C),,,
dblp:conf/policy,POLICY (C),,39,A2
dblp:conf/berkeley,BERKELEY (C),,,
dblp:conf/icmla,ICMLA (C),,17,B2
dblp:conf/mir,MIR (C),,,
dblp:conf/ciss,CISS (C),,,
dblp:conf/csee,CSEE (C),,2,B5
