,Author,HIndex
608,Joao Jose Vasco Peixoto Furtado,19
609,Joao Nunes de Souza,27
610,Cesar Augusto Viana Melo,10
611,Nami Kobayashi,
612,Julio Michael Stern,16
613,Marta Becker Villamil,5
614,Hans Kurt Edmund Liesenberg,
615,MAURO CAVALCANTE PEQUENO,
616,Jovelino Falqueto,
617,Patricia Dockhorn Costa,10
618,Sheila dos Santos Reinehr,
619,HENRIQUE LUIZ CUKIERMAN,
620,Flavio Soares Correa da Silva,11
621,Otton Teixeira da Silveira Filho,15
622,Jair Cavalcanti Leite,
623,Antonio Eduardo Costa Pereira,31
624,Anna Dolejsi Santos,9
625,Murilo Francisco Tome,20
626,Reiko Aoki,6
627,Selan Rodrigues dos Santos,6
628,Mauro Sergio Pereira Fonseca,9
629,EDNA NATIVIDADE DA SILVA BARROS,
630,Luiz Augusto de Paula Lima Junior,21
631,Maria Cristina Silva Boeres,6
632,Marcos Cesar Madruga A. Pinheiro,8
633,JOSE ANTAO BELTRAO MOURA,
634,Paulo Aristarco Pagliosa,5
635,Jose Francisco de Magalhaes Netto,26
636,Orivaldo de Lira Tavares,
637,MARCELINO CAVALCANTE PEQUENO,
638,FABIOLA GONCALVES PEREIRA GREVE,10
639,Marcelo Menezes Reis,7
640,Andrea Maria Pedrosa Valli,
641,Thomas Walter Rauber,11
642,ANTONIO LOPES APOLINARIO JUNIOR,21
643,GERMANO CRISPIM VASCONCELOS,
644,Jamil Salem Barbar,2
645,FERNANDO ANTONIO DE CARVALHO GOMES,16
646,Julio Cesar Stacchini de Souza,14
647,Jose Luiz de Souza Pio,
648,Pedro de Azevedo Berger,
649,Maria Elizabeth Sucupira Furtado,12
650,Mario Lucio Cortes,4
651,Paulo Jose da Silva e Silva,96
652,Orlando Gomes Loques Filho,38
653,Arlindo Gomes de Alvarenga,
654,Hannu Tapio Ahonen,
