author,a_name,score
936,Andrea J. Goldsmith,1
2187,Shuguang Cui,1
20585,Sanjay Lall,1
53667,Ritesh Madan,1
946,Richard G. Baraniuk,1
51607,Vinay J. Ribeiro,1
985,Osvaldo Simeone,1
11389,Michele Rossi,1
128975,Cristiano Tapparello,1
2788,K. K. Ramakrishnan,1
17945,Rittwik Jana,1
113050,Swati Rallapalli,1
147724,Tae Won Cho,1
606991,Leo Razoumov,1
10920,David L. Donoho,1
12180,Matthew Roughan,1
14849,Carsten Lund,1
8892,Walter Willinger,1
81742,Eric Rozner,1
207959,Mi Kyung Han,1
1006,Mohammed Ghanbari,1
732105,Charles J. Hughes,1
1024,Danny Dolev,1
3904,Yuval Shavitt,1
58126,Osnat Mokryn,1
1039,Charles J. Colbourn,1
12510,Violet R. Syrotiuk,1
1117443,Sruthi Yellamraju,1
1049,Wei Hu,1
54409,Jin Xie,1
416219,Steven Bronson,1
1058,Michael Mitzenmacher,1
86963,Adam Kirsch,1
14144,John W. Byers,1
104108,Jeffrey Considine,1
236774,Stanislav Rost,1
6934,Michael Luby,1
173189,Gu-In Kwon,1
1060,Bart Dhoedt,1
3453,Brigitte Jaumard,1
12964,Chris Develder,1
86517,Jens Buysse,1
1083,Jaideep Srivastava,1
200366,Srivatsan Varadarajan,1
1085,Yang Chen,1
1170,Chunming Qiao,1
1206,Xin He,1
50991,Dahai Xu,1
228818,Yizhi Xiong,1
158656,Siamak Sorooshyari,1
10667,Daniel Pérez Palomar,1
