,0
838,Carleton University 
839,RWTH Aachen 
840,University of Melbourne 
841,University of Chicago 
842,Georgia Institute of Technology 
843,University of Georgia 
844,Cornell University 
845,University of Tennessee 
846,University of Southern California 
847,University of North Carolina 
848,University of California-Santa Cruz 
849,University of Texas at Arlington 
850,Virginia Polytechnic Institute and State University 
851,University of Toronto 
852,Stanford University 
853,University of Illinois at Urbana-Champaign 
854,Binghamton University 
855,Wayne State University 
856,University of Western Australia 
857,Georgia Institute of Technology 
858,Politecnico di Milano 
859,University of Pennsylvania 
860,University of California-Santa Cruz 
861,Boston University 
862,Iowa State University 
863,University of Michigan 
864,Florida Institute of Technology 
865,University of Waterloo 
866,Carnegie Mellon University 
867,University of Wisconsin-Madison 
868,University at Buffalo 
869,University at Buffalo 
870,Washington University in St. Louis 
871,University of Adelaide 
872,Case Western Reserve University 
873,Boise State University 
874,University of Athens 
875,Duke University 
876,Cornell University 
877,University of California-Santa Barbara 
878,University of South Florida 
879,University of Warsaw 
880,University of Tennessee 
881,University of Tartu 
882,University of Massachusetts Amherst 
883,Illinois Institute of Technology 
884,University of Waterloo 
885,University of Washington 
886,Emory University 
887,University of California-Riverside 
888,IIIT Delhi 
889,Princeton University 
890,Georgetown University 
891,Washington University in St. Louis 
892,Politecnico di Milano 
893,University of California-Santa Cruz 
894,University of Maryland-Baltimore County 
895,Rensselaer Polytechnic Institute 
896,National University of Singapore 
897,University of Chicago 
898,University of Illinois at Urbana-Champaign 
899,State University of New York at Albany 
900,Imperial College London 
901,Johns Hopkins University 
902,ETH Zurich 
903,Princeton University 
904,University of California-San Diego 
905,University of Sydney 
906,North Carolina State University 
907,University of Pennsylvania 
908,State University of New York at Albany 
909,Universidade Estadual de Campinas 
910,Old Dominion University 
911,Massachusetts Institute of Technology 
912,University of Pittsburgh 
913,North Carolina State University 
914,University of Southern California 
915,Lehigh University 
916,Victoria University of Wellington 
917,IIT Madras 
918,Rochester Institute of Technology 
919,Universidade Federal do Rio Grande do Sul 
920,University of California-Irvine 
921,University of California-Riverside 
922,University of California-Irvine 
923,University of Oxford 
924,Arizona State University 
925,Technion-Israel Institute of Technology 
926,George Mason University 
927,Universidade Federal de Campina Grande 
928,Arizona State University 
929,University of Wisconsin-Madison 
930,Duke University 
931,University of Wisconsin-Madison 
932,EPFL 
933,Carnegie Mellon University 
934,Emory University 
935,McGill University 
936,Duke University 
937,VU Amsterdam 
938,University of Texas at Austin 
939,Columbia University 
940,University of California-Irvine 
941,Columbia University 
942,New Mexico State University 
943,University of Waterloo 
944,University of California-San Diego 
945,Universidade Federal de Pernambuco 
946,University of North Carolina at Charlotte 
947,Cornell University 
948,National University of Singapore 
949,University of British Columbia 
950,California Institute of Technology 
951,State University of New York at Binghamton 
952,National University of Singapore 
953,University of Warsaw 
954,Universidade Federal do Rio de Janeiro 
955,University of Washington 
956,University of California-Irvine 
957,University of Sydney 
958,New York University 
959,Louisiana State University and Agricultural and Mechanical College 
960,University of Melbourne 
961,Temple University 
962,Politecnico di Milano 
