,0
936,TU Munich 
937,New York University 
938,University of California-Riverside 
939,University of Warsaw 
940,Politecnico di Milano 
941,University of Chicago 
942,University of Georgia 
943,University of Melbourne 
944,University of Massachusetts Amherst 
945,Washington State University 
946,University of Southern California 
947,University of Washington 
948,Indiana University 
949,Rensselaer Polytechnic Institute 
950,Texas A&M University 
951,University of California-Riverside 
952,University of North Carolina at Charlotte 
953,Carnegie Mellon University 
954,University of California-Berkeley 
955,National University of Singapore 
956,Oregon State University 
957,IIIT Hyderabad 
958,University of Maryland Baltimore County 
959,University of Illinois at Urbana-Champaign 
960,University of Colorado at Boulder 
961,Tufts University 
962,Dartmouth College 
963,University of California-Davis 
964,Rice University 
965,University of California-Davis 
966,Carnegie Mellon University 
967,Georgia State University 
968,Texas Tech University 
969,Ecole Normale Superieure 
970,University of Western Australia 
971,Boise State University 
972,Brown University 
973,University of Illinois at Urbana-Champaign 
974,Universidade Federal Fluminense 
975,Universidade Federal de Pernambuco 
976,University of Florida 
977,University of Oregon 
978,Texas Tech University 
979,New York University 
980,Pennsylvania State University 
981,Louisiana State University and Agricultural and Mechanical College 
982,University College London 
983,University of Notre Dame 
984,Stanford University 
985,University of Illinois at Urbana-Champaign 
986,University of Sydney 
987,Rice University 
988,University of Oregon 
989,Simon Fraser University 
990,Stanford University 
991,Harvard University 
992,Carnegie Mellon University 
993,University of Cambridge 
994,Stanford University 
995,University of Maryland-College Park 
996,Cornell University 
997,University of Alabama at Birmingham 
998,University of California-Santa Barbara 
999,Tel Aviv University 
1000,University of Alberta 
1001,University of Waterloo 
1002,Stony Brook University 
1003,Indiana University 
1004,University of Salerno 
1005,Lehigh University 
1006,University of Sydney 
1007,Georgia Institute of Technology 
1008,University of Illinois at Urbana-Champaign 
1009,University of Texas at Arlington 
1010,Imperial College London 
1011,University of Calgary 
1012,University of Sydney 
1013,University of Alberta 
1014,Dartmouth College 
1015,Stanford University 
1016,Georgia Institute of Technology 
1017,Illinois Institute of Technology 
1018,Rutgers University 
1019,University of Edinburgh 
1020,University of Virginia 
1021,University of California-Berkeley 
1022,Pennsylvania State University 
1023,University of Nevada 
1024,University of Minnesota-Twin Cities 
1025,University of California-Irvine 
1026,Universidade Federal do Rio Grande do Sul 
1027,University of Warsaw 
1028,University of Utah 
1029,Worcester Polytechnic Institute 
1030,Rice University 
1031,Max Planck Institute 
1032,University of Montreal 
1033,University of Utah 
1034,University of Memphis 
1035,University of South Carolina Columbia 
1036,University of Connecticut 
1037,Monash University 
1038,University of Tartu 
1039,University of Massachusetts Lowell 
1040,Oregon State University 
1041,Indiana University 
1042,USP - São Carlos 
1043,University of California-San Diego 
1044,Bar-Ilan University 
1045,University of California-Los Angeles 
1046,University of Calgary 
1047,Simon Fraser University 
1048,Bar-Ilan University 
1049,Yale University 
1050,TU Darmstadt 
