,0
549,Technion-Israel Institute of Technology 
550,VU Amsterdam 
551,University of Edinburgh 
552,Athens University of Economics and Business 
553,Columbia University 
554,RWTH Aachen 
555,University of Maryland-College Park 
556,RWTH Aachen 
557,Northwestern University 
558,Ecole Normale Superieure de Cachan 
559,Stanford University 
560,Boston University 
561,Carnegie Mellon University 
562,Technion-Israel Institute of Technology 
563,Stanford University 
564,University of Athens 
565,University at Buffalo 
566,University of Massachusetts Amherst 
567,University of Colorado at Boulder 
568,Carnegie Mellon University 
569,University of Washington 
570,University of Houston 
571,Pontifícia Universidade Católica do Rio Grande do Sul 
572,University of Minnesota 
573,University of California-Santa Cruz 
574,Universidade Federal de São Carlos 
575,Simon Fraser University 
576,Massachusetts Institute of Technology 
577,TU Delft 
578,Purdue University Main Campus 
579,Indiana University 
580,Indiana University 
581,National University of Singapore 
582,University of Washington 
583,IIT Bombay 
584,University of California-Riverside 
585,Princeton University 
586,Pontifícia Universidade Católica do Rio de Janeiro 
587,National University of Singapore 
588,Politecnico di Milano 
589,Harvard University 
590,Australian National University 
591,University of California-Davis 
592,Queen’s University 
593,University of Toronto 
594,New York University 
595,University of North Carolina 
596,University of California-Irvine 
597,Massachusetts Institute of Technology 
598,Stanford University 
599,University of Rochester 
600,Monash University 
601,University of Massachusetts Amherst 
602,University of Washington 
603,University of North Carolina at Charlotte 
604,University of California-Santa Cruz 
605,University of Massachusetts Amherst 
606,Nanyang Technological University 
607,University of Toronto 
608,Rutgers University 
609,University of Waterloo 
610,University of Colorado at Boulder 
611,University of North Carolina at Charlotte 
612,University of California-Los Angeles 
613,University of Central Florida 
614,IIT Delhi 
615,University of Minnesota 
616,Simon Fraser University 
617,University College London 
618,University of California-Irvine 
619,Carnegie Mellon University 
620,University of Texas at Dallas 
621,Carnegie Mellon University 
622,Imperial College London 
623,Princeton University 
624,University of Waterloo 
625,University of Michigan 
626,Purdue University Main Campus 
627,New York University 
628,University of Toronto 
629,University of Washington 
630,Boston College 
631,Bar-Ilan University 
632,McGill University 
633,University of Washington 
634,Carnegie Mellon University 
635,Virginia Polytechnic Institute and State University 
636,Universidade de Brasília 
637,Politecnico di Milano 
638,Duke University 
639,University of Toronto 
640,University at Buffalo 
641,University of California-Irvine 
642,University of Texas at Arlington 
643,Georgia Institute of Technology 
644,University of Maryland-College Park 
